No,Sınıf,Takım,Hayvan,Anavatan/Yaşam Alanı,Beslenme,Ortalama Ömür (yıl),Bilimsel Adı,Ortalama Ağırlık,Koruma Durumu
1,Memeli,Etçiller,Aslan,Afrika savanları,Etçil,14,Panthera leo,190 kg,Hassas
2,Memeli,Etçiller,Kaplan,Asya ormanları,Etçil,16,Panthera tigris,220 kg,Tehlikede
3,Memeli,Hortumlular,Afrika Fili,Afrika savanları,Otçul,65,Loxodonta africana,5000 kg,Tehlikede
4,Memeli,Çift toynaklılar,Zürafa,Afrika savanları,Otçul,25,Giraffa camelopardalis,1200 kg,Hassas
5,Memeli,Tek toynaklılar,At,Dünya geneli (evcil),Otçul,27,Equus caballus,500 kg,Evcil
6,Memeli,Etçiller,Kurt,Kuzey yarımküre,Etçil,13,Canis lupus,45 kg,Asgari endişe
7,Memeli,Etçiller,Boz Ayı,Kuzey Amerika ve Avrasya,Hepçil,25,Ursus arctos,300 kg,Asgari endişe
8,Memeli,Etçiller,Dev Panda,Çin bambu ormanları,Otçul,20,Ailuropoda melanoleuca,100 kg,Hassas
9,Memeli,Keseliler,Kanguru,Avustralya,Otçul,22,Macropus rufus,65 kg,Asgari endişe
10,Memeli,Balinalar,Şişe Burunlu Yunus,Okyanuslar,Etçil,40,Tursiops truncatus,300 kg,Asgari endişe
11,Memeli,Balinalar,Mavi Balina,Okyanuslar,Etçil (kril),85,Balaenoptera musculus,150000 kg,Tehlikede
12,Memeli,Etçiller,Köpek,Dünya geneli (evcil),Hepçil,13,Canis familiaris,25 kg,Evcil
13,Memeli,Etçiller,Kedi,Dünya geneli (evcil),Etçil,15,Felis catus,4 kg,Evcil
14,Memeli,Çift toynaklılar,Deve,Orta Doğu ve Orta Asya,Otçul,40,Camelus dromedarius,500 kg,Evcil
15,Memeli,Primatlar,Goril,Orta Afrika ormanları,Otçul,40,Gorilla gorilla,160 kg,Kritik tehlike
16,Kuş,Penguenler,İmparator Pengueni,Antarktika,Etçil (balık),20,Aptenodytes forsteri,30 kg,Yakın tehdit
17,Kuş,Yırtıcı kuşlar,Kartal,Dünya geneli,Etçil,25,Aquila chrysaetos,5 kg,Asgari endişe
18,Kuş,Gece yırtıcıları,Baykuş,Dünya geneli,Etçil,12,Strigidae,1.5 kg,Asgari endişe
19,Kuş,Papağanlar,Papağan,Tropikal bölgeler,Otçul (tohum ve meyve),60,Psittacidae,1 kg,Asgari endişe
20,Kuş,Deve kuşları,Devekuşu,Afrika,Hepçil,45,Struthio camelus,110 kg,Asgari endişe
21,Sürüngen,Timsahlar,Nil Timsahı,Afrika nehirleri,Etçil,70,Crocodylus niloticus,400 kg,Asgari endişe
22,Sürüngen,Kaplumbağalar,Dev Kaplumbağa,Galapagos Adaları,Otçul,100,Chelonoidis niger,250 kg,Hassas
23,Sürüngen,Pullular,Piton,Asya ve Afrika tropikleri,Etçil,25,Pythonidae,90 kg,Asgari endişe
24,Sürüngen,Pullular,İguana,Orta ve Güney Amerika,Otçul,15,Iguana iguana,5 kg,Asgari endişe
25,İki yaşamlı,Kuyruksuzlar,Kurbağa,Dünya geneli sulak alanlar,Etçil (böcek),10,Anura,0.05 kg,Asgari endişe
26,Balık,Somonlar,Somon,Kuzey Atlantik ve Pasifik,Etçil,6,Salmo salar,4 kg,Asgari endişe
27,Balık,Köpekbalıkları,Beyaz Köpekbalığı,Okyanuslar,Etçil,70,Carcharodon carcharias,1000 kg,Hassas
28,Kafadanbacaklı,Ahtapotlar,Ahtapot,Okyanus tabanları,Etçil,3,Octopoda,10 kg,Asgari endişe
29,Böcek,Zar kanatlılar,Bal Arısı,Dünya geneli,Otçul (nektar),1,Apis mellifera,0.0001 kg,Asgari endişe
30,Böcek,Pul kanatlılar,Kral Kelebeği,Kuzey Amerika,Otçul (nektar),1,Danaus plexippus,0.0005 kg,Tehlikede
31,Memeli,Etçiller,Kızıl Tilki,Kuzey Yarımküre,Hepçil,5,Vulpes vulpes,7 kg,Asgari endişe
32,Memeli,Çift toynaklılar,Kızıl Geyik,Avrupa ve Asya,Otçul,15,Cervus elaphus,200 kg,Asgari endişe
33,Memeli,Yarasalar,Yarasa,Dünya geneli,Böcekçil,20,Chiroptera,0.03 kg,Asgari endişe
34,Memeli,Primatlar,Şempanze,Orta ve Batı Afrika,Hepçil,50,Pan troglodytes,50 kg,Tehlikede
