No,Yapım Yılı,Şehir,Yapı,Ülke,Mimar,Mimari Üslup,Kullanım Amacı,Yükseklik/Ölçü,UNESCO Mirası,İlginç Bilgi,Görsel
1,MÖ 9600,Şanlıurfa,Göbeklitepe,Türkiye,-,Neolitik,Tapınak,300 m çap,Evet,Dünyanın bilinen en eski tapınağı,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/G%C3%B6bekli_Tepe%2C_Urfa.jpg/330px-G%C3%B6bekli_Tepe%2C_Urfa.jpg
2,MÖ 3000,Wiltshire,Stonehenge,Birleşik Krallık,-,Neolitik,Ritüel Alanı,7 m taşlar,Evet,Devasa taşlardan oluşan halka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Stonehenge2007_07_30.jpg/330px-Stonehenge2007_07_30.jpg
3,MÖ 2560,Giza,Giza Piramitleri,Mısır,Hemiunu,Antik Mısır,Anıt Mezar,146 m,Evet,Ayakta kalan tek antik dünya harikası,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/330px-Kheops-Pyramid.jpg
4,MÖ 447-432,Atina,Partenon,Yunanistan,İktinos ve Kallikrates,Antik Yunan,Tapınak,13.7 m,Evet,Tanrıça Athena'ya adanmıştır,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_Parthenon_in_Athens.jpg/330px-The_Parthenon_in_Athens.jpg
5,MÖ 220-1644,Pekin,Çin Seddi,Çin,-,Antik Çin,Savunma,21196 km uzunluk,Evet,İnsan eliyle yapılan en uzun yapı,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/The_Great_Wall_of_China_at_Jinshanling-edit.jpg/330px-The_Great_Wall_of_China_at_Jinshanling-edit.jpg
6,MÖ 100,Maan,Petra,Ürdün,-,Nebati,Anıt Mezar,39 m,Evet,Kayaya oyulmuş antik şehir,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Treasury_petra_crop.jpeg/330px-Treasury_petra_crop.jpeg
7,MÖ 62,Adıyaman,Nemrut Dağı Tümülüsü,Türkiye,-,Kommagene,Anıt Mezar,50 m tümülüs,Evet,Kommagene kralına ait mezar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Mount_Nemrut_-_East_Terrace_%284961323529%29.jpg/330px-Mount_Nemrut_-_East_Terrace_%284961323529%29.jpg
8,70-80,Roma,Kolezyum,İtalya,-,Antik Roma,Arena,48 m,Evet,50 bin seyirci kapasiteliydi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Colosseo_2020.jpg/330px-Colosseo_2020.jpg
9,113-125,Roma,Pantheon,İtalya,Şamlı Apollodorus,Antik Roma,Tapınak,43 m kubbe,Evet,Dünyanın en büyük donatısız kubbesi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rome_Pantheon_front.jpg/330px-Rome_Pantheon_front.jpg
10,386,Trabzon,Sümela Manastırı,Türkiye,-,Bizans,Manastır,300 m kayalık,Hayır,Sarp kayalığa oyulmuş manastır,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Sumela_Showing_Location.JPG/330px-Sumela_Showing_Location.JPG
11,532-537,İstanbul,Ayasofya,Türkiye,Tralleisli Anthemius ve Miletoslu İsidoros,Bizans,Cami,55 m,Evet,Bin yıl dünyanın en büyük kilisesiydi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Hagia_Sophia_%28228968325%29.jpeg/330px-Hagia_Sophia_%28228968325%29.jpeg
12,1110,İstanbul,Kız Kulesi,Türkiye,-,Bizans,Deniz Feneri,23 m,Hayır,İstanbul Boğazı'nda ada kule,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Istanbul_K%C4%B1z_Kulesi_%2854511155871%29_%28cropped%29.jpg/330px-Istanbul_K%C4%B1z_Kulesi_%2854511155871%29_%28cropped%29.jpg
13,1113-1150,Siem Reap,Angkor Wat,Kamboçya,-,Khmer,Tapınak,65 m,Evet,Dünyanın en büyük dini yapısı,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Angkor_Wat.jpg/330px-Angkor_Wat.jpg
14,1163-1345,Paris,Notre-Dame Katedrali,Fransa,-,Gotik,Kilise,69 m,Evet,2019 yangınında ağır hasar gördü,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Notre-Dame_de_Paris%2C_4_October_2017.jpg/330px-Notre-Dame_de_Paris%2C_4_October_2017.jpg
15,1173-1372,Pisa,Pisa Kulesi,İtalya,Bonanno Pisano,Roman,Çan Kulesi,56 m,Evet,Zemin oturması yüzünden eğik,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/The_Leaning_Tower_of_Pisa_2026.jpg/330px-The_Leaning_Tower_of_Pisa_2026.jpg
16,1228-1229,Sivas,Divriği Ulu Camii,Türkiye,Ahlatlı Hürremşah,Anadolu Selçuklu,Cami,64 m uzunluk,Evet,Görkemli taş kapı işçiliğiyle ünlü,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Divrigi_095.jpg/330px-Divrigi_095.jpg
17,1238-1358,Granada,Alhambra Sarayı,İspanya,-,Endülüs İslam,Saray,740 m uzunluk,Evet,Endülüs saray ve kale kompleksi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg/330px-Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg
18,1271,Erzurum,Çifte Minareli Medrese,Türkiye,-,Anadolu Selçuklu,Medrese,26 m minare,Hayır,Selçuklu taç kapısıyla dikkat çeker,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Erzurum%2C_madrasa_dei_minareti_gemelli%2C_1253_ca.%2C_esterno_01.jpg/330px-Erzurum%2C_madrasa_dei_minareti_gemelli%2C_1253_ca.%2C_esterno_01.jpg
19,1348,İstanbul,Galata Kulesi,Türkiye,-,Ceneviz,Gözlem Kulesi,67 m,Hayır,Cenevizliler tarafından yapıldı,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Istanbul_asv2020-02_img48_Galata_Tower.jpg/500px-Istanbul_asv2020-02_img48_Galata_Tower.jpg
20,1450,Cusco,Machu Picchu,Peru,-,İnka,Şehir,2430 m rakım,Evet,And Dağları'nda İnka şehri,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Machu_Picchu%2C_Peru_%282018%29.jpg/330px-Machu_Picchu%2C_Peru_%282018%29.jpg
21,1460-1478,İstanbul,Topkapı Sarayı,Türkiye,Atik Sinan,Klasik Osmanlı,Saray,700000 m² alan,Evet,400 yıl Osmanlı yönetim merkezi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Topkap%C4%B1_-_01.jpg/330px-Topkap%C4%B1_-_01.jpg
22,1482-1495,Moskova,Kremlin Sarayı,Rusya,Aristotele Fioravanti,Rus Rönesansı,Saray,2235 m sur,Evet,Rusya yönetiminin kalbi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Moscow_Kremlin_and_Bolshoy_Kamenny_Bridge_late_evening_01.JPG/330px-Moscow_Kremlin_and_Bolshoy_Kamenny_Bridge_late_evening_01.JPG
23,1506-1626,Vatikan,Aziz Petrus Bazilikası,Vatikan,Michelangelo,Rönesans,Kilise,136 m,Evet,Dünyanın en büyük kilisesi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg/330px-Basilica_di_San_Pietro_in_Vaticano_September_2015-1a.jpg
24,1550-1557,İstanbul,Süleymaniye Camii,Türkiye,Mimar Sinan,Klasik Osmanlı,Cami,53 m kubbe,Evet,Mimar Sinan'ın kalfalık eseri,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/S%C3%BCleymaniyeMosqueIstanbul_%28cropped%29.jpg/330px-S%C3%BCleymaniyeMosqueIstanbul_%28cropped%29.jpg
25,1555-1561,Moskova,Aziz Vasil Katedrali,Rusya,Postnik Yakovlev,Rus Ortodoks,Kilise,47.5 m,Evet,Renkli soğan kubbeleriyle ünlü,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Saint_Basil%27s_Cathedral_in_Moscow.jpg/330px-Saint_Basil%27s_Cathedral_in_Moscow.jpg
